10:03:00 [激光测距] 已通过 MyLink MAVLink 收到四路距离数据
10:03:01 [电机输出] 已通过 MyLink MAVLink 收到四路电机PWM数据
10:03:03 [成功] PX4已连接：udp:127.0.0.1:14540 系统ID=1 组件ID=1
10:03:03 [贴顶流程] 待机
10:03:03 [离地高度] 已请求3 Hz测距数据流
10:03:03 [成功] 已保存UDP地址：udp:127.0.0.1:14540
10:03:03 [成功] 本地NED坐标原点=(-0.026564037427306175, 0.016641510650515556, -0.10862046480178833)；已启动10 Hz本地位置数据流
10:03:06.871816 [轨迹] 序号=33 单调时间=4601.651819 时间=4601.652 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.021,0.019,-0.105) 实际速度=(-0.001,0.000,-0.009) 最终目标=(-0.021,0.019,-0.105) 指令位置=(-0.021,0.019,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:06.974751 [轨迹] 序号=34 单调时间=4601.754574 时间=4601.755 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.021,0.019,-0.105) 实际速度=(-0.001,0.000,-0.009) 最终目标=(-0.021,0.019,-0.105) 指令位置=(-0.021,0.019,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:07.078232 [轨迹] 序号=35 单调时间=4601.858195 时间=4601.858 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.021,0.019,-0.105) 实际速度=(-0.001,0.000,-0.009) 最终目标=(-0.021,0.019,-0.105) 指令位置=(-0.021,0.019,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:07.180771 [轨迹] 序号=36 单调时间=4601.960719 时间=4601.961 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.021,0.019,-0.105) 实际速度=(-0.001,0.000,-0.009) 最终目标=(-0.021,0.019,-0.105) 指令位置=(-0.021,0.019,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:07.283899 [轨迹] 序号=37 单调时间=4602.063597 时间=4602.064 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.020,0.019,-0.105) 实际速度=(-0.001,0.000,-0.008) 最终目标=(-0.020,0.019,-0.105) 指令位置=(-0.020,0.019,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:07.387159 [轨迹] 序号=38 单调时间=4602.167167 时间=4602.167 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.020,0.019,-0.105) 实际速度=(-0.001,-0.000,-0.008) 最终目标=(-0.020,0.019,-0.105) 指令位置=(-0.020,0.019,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:07.490365 [轨迹] 序号=39 单调时间=4602.269883 时间=4602.270 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.020,0.019,-0.105) 实际速度=(-0.001,0.000,-0.008) 最终目标=(-0.020,0.019,-0.105) 指令位置=(-0.020,0.019,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:07.593221 [轨迹] 序号=40 单调时间=4602.373186 时间=4602.373 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.020,0.020,-0.105) 实际速度=(-0.001,-0.000,-0.008) 最终目标=(-0.020,0.020,-0.105) 指令位置=(-0.020,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:07.696085 [轨迹] 序号=41 单调时间=4602.475988 时间=4602.476 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.020,0.020,-0.105) 实际速度=(-0.001,-0.000,-0.008) 最终目标=(-0.020,0.020,-0.105) 指令位置=(-0.020,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:07.798956 [轨迹] 序号=42 单调时间=4602.578719 时间=4602.579 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.020,0.020,-0.105) 实际速度=(-0.001,-0.000,-0.007) 最终目标=(-0.020,0.020,-0.105) 指令位置=(-0.020,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
